route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
8165,1,5364162,the Bayview District,1,409355,95878
8165,1,5364161,the Bayview District,1,409354,95878
8165,1,5364160,the Bayview District,1,409353,95878
8165,1,5364211,,1,409359,95879
8165,3,5364463,the Bayview District,1,409380,95877
8165,3,5364462,the Bayview District,1,409378,95877
8165,3,5364461,the Bayview District,1,409379,95877
8165,3,5364460,the Bayview District,1,409380,95877
8165,3,5364459,the Bayview District,1,409378,95877
8166,2,5364819,Divisadro St. & Sutter St.,1,409395,95897
8166,3,5365057,Pacific Heights,1,409401,95898
8166,3,5365056,Pacific Heights,1,409400,95898
8166,3,5365055,Pacific Heights,1,409401,95898
8166,3,5365054,Pacific Heights,1,409400,95898
8166,3,5365053,Pacific Heights,1,409401,95898
8166,3,5365052,Pacific Heights,1,409400,95898
8166,3,5365051,Pacific Heights,1,409401,95898
8166,2,5364826,Pacific Heights,1,409394,95898
8166,2,5364825,Pacific Heights,1,409395,95898
8166,2,5364824,Pacific Heights,1,409394,95898
8166,2,5364823,Pacific Heights,1,409395,95898
8166,2,5364822,Pacific Heights,1,409394,95898
8166,2,5364821,Pacific Heights,1,409395,95898
8166,2,5364820,Pacific Heights,1,409394,95898
8166,1,5364603,Pacific Heights,1,409243,95888
8166,1,5364602,Pacific Heights,1,409382,95888
8166,1,5364601,Pacific Heights,1,409241,95888
8166,1,5364600,Pacific Heights,1,409381,95888
8166,1,5364599,Pacific Heights,1,409385,95888
8166,1,5364598,Pacific Heights,1,409240,95888
8166,1,5364597,Pacific Heights,1,409243,95888
8166,1,5364596,Pacific Heights,1,409241,95888
8166,1,5364595,Pacific Heights,1,409239,95888
8166,1,5364594,Pacific Heights,1,409384,95888
8166,1,5364593,Pacific Heights,1,409387,95888
8166,1,5364592,Pacific Heights,1,409388,95888
8166,1,5364591,Pacific Heights,1,409383,95888
8166,1,5364590,Pacific Heights,1,409243,95888
8166,1,5364588,Pacific Heights,1,409381,95888
8166,1,5364587,Pacific Heights,1,409381,95888
8166,1,5364586,Pacific Heights,1,409242,95888
8166,1,5364584,Pacific Heights,1,409381,95888
8166,1,5364583,Pacific Heights,1,409388,95888
8166,1,5364582,Pacific Heights,1,409243,95888
8166,3,5365048,Pacific Heights,1,409287,95892
8166,3,5365047,Pacific Heights,1,409286,95892
8166,3,5365037,Pacific Heights,1,409285,95892
8166,3,5365022,Pacific Heights,1,409281,95892
8166,2,5364882,Pacific Heights,1,409265,95892
8166,2,5364872,Pacific Heights,1,409263,95892
8166,2,5364865,Pacific Heights,1,409259,95892
8166,2,5364796,Pacific Heights,1,409264,95892
8166,1,5364689,Pacific Heights,1,409240,95892
8166,1,5364687,Pacific Heights,1,409244,95892
8166,1,5364685,Pacific Heights,1,409242,95892
8166,1,5364681,Pacific Heights,1,409239,95892
8166,1,5364589,Pacific Heights,1,409241,95892
8166,1,5364585,Pacific Heights,1,409243,95892
8166,3,5365059,Mission & 30th St.,1,409401,95893
8166,3,5365050,Mission & 30th St.,1,409396,95893
8166,3,5365042,Mission & 30th St.,1,409397,95893
8166,3,5365039,Mission & 30th St.,1,409398,95893
8166,3,5365035,Mission & 30th St.,1,409399,95893
8166,2,5364880,Mission & 30th St.,1,409392,95893
8166,2,5364879,Mission & 30th St.,1,409390,95893
8166,2,5364878,Mission & 30th St.,1,409393,95893
8166,2,5364870,Mission & 30th St.,1,409391,95893
8166,2,5364828,Mission & 30th St.,1,409394,95893
8166,1,5364705,Mission & 30th St.,1,409383,95893
8166,1,5364704,Mission & 30th St.,1,409386,95893
8166,1,5364703,Mission & 30th St.,1,409385,95893
8166,1,5364702,Mission & 30th St.,1,409382,95893
8166,1,5364701,Mission & 30th St.,1,409384,95893
8166,1,5364700,Mission & 30th St.,1,409389,95893
8166,1,5364699,Mission & 30th St.,1,409381,95893
8166,1,5364697,Mission & 30th St.,1,409387,95893
8166,1,5364698,Divisadro St. & Sutter St.,1,409388,95894
8166,1,5364612,Divisadro St. & Sutter St.,1,409387,95895
8166,1,5364611,Divisadro St. & Sutter St.,1,409388,95895
8166,1,5364610,Divisadro St. & Sutter St.,1,409387,95895
8166,1,5364609,Divisadro St. & Sutter St.,1,409388,95895
8166,1,5364608,Divisadro St. & Sutter St.,1,409387,95895
8166,1,5364607,Divisadro St. & Sutter St.,1,409388,95895
8166,1,5364606,Divisadro St. & Sutter St.,1,409387,95895
